id,source_url,business_name,business_name_ar,category_slug,category_ar,city_slug,governorate_ar,phone,email,website,facebook_url,address,address_ar,raw_html_hash,source_tier,scraped_at,matched_facets
409,https://yellowpages.com.eg/en/profile/egyptian-contractors-_-authorized-distributor-for-tri_chem-and-prochem-co./440649,Egyptian Contractors - Authorized Distributor For Tri-Chem And Prochem Co.,المقاولون المصريون موزع شركه تراي كيم وبروكيم,,,cairo,,"0106-9971-662, 0100-9464-646",,,https://web.facebook.com/Egyptian.contractors.egy,"83 Nasser Bldgs. Mahmashat St., El sharabeya, Cairo","83 مساكن ناصر ش مهمشة, الشرابية, القاهرة",eaa5227d7c78b8e56466d69b06f38822,1,2026-05-12T20:29:39.746825+00:00,"brand: Prokem, brand: Tri Chem, category: Chemicals, city: Cairo, city: giza, keyword: موزع"
405,https://yellowpages.com.eg/en/profile/el-mahaba-factory/667254,El Mahaba Factory,مصنع المحبة,,,cairo,,0106-7812-053,,,https://www.facebook.com/profile.php?id=100055524404902,"Mohamed Fekry St., Ezbet el nakhl, Cairo","ش محمد فكرى, عزبة النخل, القاهرة",b6c9f09353ca970af2e77fcd62a9b1f5,1,2026-05-12T20:23:27.562315+00:00,"category: Clothing Factories & Wholesalers, city: Cairo, keyword: مصنع"
404,https://yellowpages.com.eg/en/profile/el-magd-factory/440065,El Magd Factory,مصنع المجد,,,cairo,,0109-9888-597,,http://www.elmagd.wix.com/elmagdbrick,,"Autostrad Rd., Helwan, Cairo","طريق الاوتوستراد, حلوان, القاهرة",2ad4159e3c64f878eada3b89b1f8f62c,1,2026-05-12T20:23:17.176281+00:00,"category: Cement, Concrete, Gypsum & Brick, city: Cairo, keyword: مصنع"
403,https://yellowpages.com.eg/en/profile/el-madina-factory-for-washers/152364,El Madina Factory For Washers,مصنع المدينة للغسالات,,,cairo,,02-3539-1650,,,,"Km 28, Cairo Alex Desert Rd., Abou rawash, Giza","كم 28 - طريق القاهرة اسكندرية الصحراوى, ابو رواش, الجيزة",72de2ef7442970230ddb261dad785c63,1,2026-05-12T20:23:07.526614+00:00,"category: Appliances, city: Cairo, city: Giza, keyword: مصنع"
402,https://yellowpages.com.eg/en/profile/el-madina-factory/177683,El Madina Factory,مصنع المدينة,,,cairo,,0122-8564-168,,,,"Industrial Zone, Shak el thoaban, Cairo                                                    Beside El Nozom Co.","المنطقة الصناعية, شق الثعبان, القاهرة                                                    بجوار شركة النظم",3d47b4f2515792928d6579eee6d8ef58,1,2026-05-12T20:22:46.877637+00:00,"category: Marble and Granite, city: Cairo, keyword: مصنع"
401,https://yellowpages.com.eg/en/profile/el-madina-el-munawara-factory-for-wooden-industries/689694,El Madina El Munawara Factory For Wooden Industries,مصنع المدينة المنورة للصناعات الخشبية,,,giza,,"0155-2201-823, 0155-2201-813, 0155-9552-937",,,https://www.facebook.com/almadinawood2023/?ref=page_internal,"Plot 221 Abou Doma St., 2nd Service Spine - 3rd Industrial Zone, 6th of october, Giza","قطعة 221 ش ابو دومة, محور خدمى ثانى - المنطقة الصناعية الثالثة, السادس من اكتوبر, الجيزة",3dab1bedc443f1156721aecc76acb9c4,1,2026-05-12T20:22:32.667801+00:00,"category: Carpenters & Equipment, city: Giza, keyword: مصنع"
400,https://yellowpages.com.eg/en/profile/el-madina-el-monawara-perfume-factory/100250,El Madina El Monawara Perfume Factory,مصنع عطور المدينة المنورة,,,cairo,,"02-2080-1018, 02-2080-1019, 02-2080-1018, 02-2080-0657, 0106-9581-010, 02-2080-1017",,http://www.elmadinagroup.com/,http://www.facebook.com/profile.php?id=166309000113564,"26 El Mahmal Tower, Ali Amin St.  Extension Of Mostafa El Nahas St., 1st Zone, Nasr city, Cairo","26 برج المحمل - ش على امين   امتداد ش مصطفى النحاس, المنطقة الاولى, مدينة نصر, القاهرة",4859bfaa3c55b1d24c576b7a39bc29c4,1,2026-05-12T20:22:26.647619+00:00,"area: Nasr City, category: Perfumes, city: Cairo, keyword: مصنع"
393,https://yellowpages.com.eg/en/profile/el-lithy-factory/165991,El Lithy Factory,مصنع الليثى,,,giza,,"0100-1823-673, 0114-2087-077",,,,"Mahmoud Selim St. Off El Koldair St., Giza, Giza                                                    Near To Misr Petroleum Gas Station","ش محمود سليم   متفرع من ش الكولدير, الجيزة, الجيزة                                                    قريب من محطة بنزين مصر للبترول",22a716c0547cd16533b7996e881ca63c,1,2026-05-12T20:20:56.584986+00:00,"category: Zippers, city: Giza, keyword: مصنع"
392,https://yellowpages.com.eg/en/profile/el-khatib-factory/7112,El Khatib Factory,مصنع الخطيب,,,cairo,,"02-2519-2608, 0100-2006-066, 02-2519-2608",,,,"4 Salem Zarifa St., Misr El Kadima Tanneries, Misr el kadima, Cairo","4 ش سالم ظريفة - مدابغ مصر القديمة, مصر القديمة, القاهرة",0042ea1c68ca5bf7832518d015bb238f,1,2026-05-12T20:20:44.044650+00:00,"category: Shoes & Bags Retail, city: Cairo, keyword: مصنع"
390,https://yellowpages.com.eg/en/profile/el-khaled-factory/167217,El Khaled Factory,مصنع الخالد,,,cairo,,"02-2395-5029, 0100-1000-133",,,,"10 Alam El Din St., Abdin, Cairo","10 ش علم الدين, عابدين, القاهرة",e873d652df6a83d16a81042bb4d85f42,1,2026-05-12T20:20:18.786653+00:00,"category: Leather and Tanning, city: Cairo, keyword: مصنع"
